id,name,fuel_type
399,Forza 750,P
400,110,P
401,110i,P
402,SH300i,P
403,1000X,P
404,110 eSP,P
405,110 ELECTRIC START,P
406,125 KICK START,P
407,750 35KW,P
408,750L,P
409,X-ADV 750,P
410,701 Enduro,P
411,701 Enduro LR,P
412,701 Supermoto,P
413,Svartpilen 401,P
414,701,P
415,1.8L,P
416,Thunder Stroke 111,P
417,FTR 1200,P
418,V-Twin,P
419,6F,P
420,6F ABS,P
421,6N,P
422,6N ABS,P
423,1000 ZX-10R,P
424,1000 ZX-10R ABS,P
425,1200 ZX-12R,P
426,250 R,P
427,300,P
428,300 ABS,P
429,400 KRT EX400,P
430,400 KRT EX400 ABS,P
431,600 ZX-6R,P
432,600 ZX-6R ABS,P
433,636 ZX-6R,P
434,636 ZX-6R ABS,P
435,636 ZX-6R KRT,P
436,650,P
437,650 KRT,P
438,H2,P
439,H2 1000,P
440,KRX 1000,P
441,650 ABS,P
442,650 Tourer,P
443,650 Tourer ABS,P
444,650 Tourer Plus ABS,P
445,1000 SX,P
446,1000 SX ABS,P
447,750 R,P
448,750 R ABS,P
449,750 S,P
450,800 ABS,P
451,800 e,P
452,800 e ABS,P
453,800 Performance,P
454,800 Performance ABS,P
455,900 A2,P
456,900 ABS,P
457,900 RS,P
458,1400,P
459,1050 Adventure,P
460,1090 Adventure,P
461,1090 Adventure R,P
462,1190 Adventure,P
463,1190 Adventure R,P
464,1290 Super Adventure,P
465,1290 Super Adventure R,P
466,1290 Super Adventure S,P
467,1290 Super Adventure T,P
468,790 Adventure,P
469,990 Adventure,P
470,990 Adventure Dakar ABS,P
471,990 Adventure R,P
472,125 Duke,P
473,125 Duke ABS,P
474,1290 Super Duke GT,P
475,1290 Super Duke GT ABS,P
476,1290 Super Duke R,P
477,1290 Super Duke R ABS,P
478,1290 Super Duke R SE ABS,P
479,1290 Super Duke RR,P
480,200 Duke,P
481,200 Duke ABS,P
482,390 Duke,P
483,390 Duke ABS,P
484,690 Duke,P
485,690 Duke R,P
486,790 Duke,P
487,990 Super Duke R,P
488,EXC 250 F,P
489,EXC 350 F,P
490,EXC 500 F,P
491,125 RC ABS,P
492,200 RC ABS,P
493,390 RC ABS,P
494,1190 RC8 R,P
495,1190 RC8 R Track,P
496,690 SMC R,P
497,SMR 450,P
498,990 Supermoto R,P
499,990 Supermoto T,P
500,990 Supermoto T ABS,P
501,SX 250 F,P
502,SX 350 F,P
503,690 Enduro,P
504,250 I.E.,P
505,250 I.E. Cruiser,P
506,250 I.E. Tourer,P
507,300 I.E. Tourer,P
508,350 I.E.,P
509,400 I.E.,P
510,400 I.E. Tourer,P
511,500 I.E.,P
512,500 I.E. Cruiser,P
513,500 I.E. Tourer,P
514,300 I.E. Cruiser,P
515,300 I.E.,P
516,LT 500IE Sport,P
517,Maxxi D120,D
518,125 I.E. LX,P
519,125 I.E. LX Touring,P
520,125 I.E. LXV,P
521,125 I.E. S,P
522,125 Super GTS,P
523,150 I.E. LX,P
524,150 I.E. LX Touring,P
525,150 I.E. S,P
526,250 I.E. GTS,P
527,250 I.E. GTV,P
528,300 Super Sport GTS,P
529,250,P
530,500,P
531,500 Evolution,P
532,500 SL,P
533,570,P
534,900 SP,P
535,750 Turbo,P
536,1000 EPS,P
537,XP 900,P
538,S 1000 EPS,P
539,1000 Turbo EPS,P
540,4 1000 EPS,P
541,450 HO,P
542,570 EFI,P
543,570 EPS,P
544,570 SP,P
545,X2 570 EPS,P
546,350cc,P
547,AT6,P
548,GSX 1300,P
549,GFS1250,P
550,Boulevard VZR1800 K8,P
551,Intruder VZR1800 K8,P
552,GSR-600,P
553,V-Strom 1000 XT,P
554,V-Strom DL1000A L4,P
555,V-Strom DL650,P
556,GSX-S1000 L5,P
557,GSX-R1000,P
558,GSX-R1000 R,P
559,GSX-R1300 Hayabusa K2,P
560,GSX-R1300 Hayabusa K3,P
561,GSX-R250,P
562,GSX-R600,P
563,GSX-R750,P
564,GSX-R750 K4,P
565,GSX-R750 K5,P
566,GSX-R750 K8,P
567,GSX-R750 L1,P
568,FJR 1300,P
569,FJR 1300 ABS,P
570,FJR 1300 AE,P
571,FJR 1300A,P
572,FX10XT75E,P
573,FX10XTA,P
574,FX10XTB,P
575,FX10XTD,P
576,FX10XTZ,P
577,Fazer 1000,P
578,FZ1 FZS10A,P
579,FZ1 FZS10B,P
580,FZ1 FZS10D,P
581,FZ1 FZS10E,P
582,FZ1 FZS10V,P
583,FZ1 FZS10W,P
584,FZ1 FZS10X,P
585,FZ1 FZS10Y,P
586,FZ1 FZS10Z,P
587,FZ1 Fazer,P
588,FZ6 FZ600SS,P
589,FZ6 FZS6T,P
590,FZ6 FZS6V,P
591,FZ8 FZ8NA,P
592,FZ8 FZ8NB,P
593,FZ8 FZ8ND,P
594,MT-01,P
595,MT-07,P
596,MT-09,P
597,MT-10,P
598,Niken 850,P
599,YFM 700 R,P
600,Viking,P
601,Viking EPS,P
602,Viking EPS SE,P
603,Viking VI EPS,P
604,Viking VI EPS Ranch Edition,P
605,Wolverine,P
606,Wolverine EPS,P
607,Wolverine EPS SE,P
608,Wolverine Hunter,P
609,Wolverine R-Spec,P
610,Wolverine R-Spec EPS,P
611,Wolverine R-Spec EPS Hunter,P
612,Wolverine R-Spec SE,P
613,Wolverine R-Specs Hunter,P
614,Wolverine X4,P
615,Wolverine X4 Hunter,P
616,Wolverine X4 Special Edition,P
617,YXZ1000 EPS,P
618,YXZ1000R EPS,P
619,YXZ1000R EPS SS,P
620,YXZ1000R SS,P
621,B-TX LE,P
622,M-TX LE,P
623,R-TX LE,P
624,XP 530 T-Max,P
625,XP500 T-Max,P
626,XP560 T-Max,P
627,XP560 T-Max Tech Max,P
628,XP560D T-Max,P
629,XP560E T-Max,P
630,Tenere 700,P
631,Tracer 700,P
632,Tracer 9,P
633,Tracer 9 GT,P
634,Tracer 900,P
635,Tracer 900 GT,P
636,XSR 700,P
637,XSR 900,P
638,XT1200Z Super Tenere,P
639,XV 950 0.95L,P
640,YZF-R1,P
641,YZF-R3,P
642,YZF-R6,P
643,S220P 3.0 V6 CRDi,D
644,S220S 3.0 V6 CRDi,D
645,S250J 3.0 V6 CRDi,D
646,S250P 3.0 V6 CRDi,D
647,S250S 3.0 V6 CRDi,D
648,S270J 3.0 V6 CRDi,D
649,S270P 3.0 V6 CRDi,D
650,S270S 3.0 V6 CRDi,D
651,815cc Four stroke EFI,P
652,1200cc,P
653,1500cc,P
654,1498cc Turbo,P
655,100 Turbo,P
656,150 Turbo,P
657,1500,P
658,1500 RS,P
659,900 ACE,P
660,900 HO ACE,P
661,DF100,P
662,2.0,P
663,DF150,P
664,DF170,P
665,DF175 2.9L 16v l4,P
666,DF20,P
667,DF200,P
668,DF200AP,P
669,DF225,P
670,DF30,P
671,DF300,P
672,DF350A,P
673,DF40A,P
674,DF40,P
675,DF50,P
676,DF60,P
677,DF70,P
678,DF80,P
679,DF90,P
680,2.4 TD,D
681,242X 2x1.8L I4,P
682,1.8L ATMO,P
683,F100D 1.6L I4,P
684,F115A 1.7L I4,P
685,F115B 1.7L I4,P
686,F130A 1.8L l4,P
687,F150A 2.7L I4,P
688,F150T 2.7L I4,P
689,F175 A/C 2.8L,P
690,F200F/G 2.8L I4,P
691,F225 4.2L V6,P
692,F225F 4.2L V6,P
693,F250D 4.2L V6,P
694,F300 4.2L V6,P
695,F300B 4.2L V6,P
696,F40H 1.0L I4,P
697,F50F 1.0L I4,P
698,F50FET,P
699,F60C 1.0L I4,P
700,F75B 1.6L I4,P
701,F80B 1.6L I4,P
702,F90B 1.6L I4,P
703,FL115A 1.7L I4,P
704,FL150AET 2.7L I4,P
705,LF150T 2.7L I4,P
706,VF200LA 4.2L V6,P
707,VF225LA 4.2L V6,P
708,VF250LA 4.2L V6,P
709,FX 140 1.0L I4,P
710,FX Base 1.0L I4,P
711,FX Cruiser 1.0L I4,P
712,FX Cruiser HO 1.0L I4,P
713,FX Cruiser HO 1.8L I4,P
714,FX Cruiser SHO 1.8L I4,P
715,FX HO 1.0L I4,P
716,FX HO 1.8L I4,P
717,FX SHO 1.8L I4,P
718,RX 1800 SVHO,P
719,FZ R 1.8L I4,P
720,FZ S 1.8L I4,P
721,V1 Base 1.0L I3,P
722,V1 Sport 1.0L I3,P
723,VX Base 1.0L I4,P
724,VX Cruiser 1.0L I4,P
725,VX Cruiser HO 1.8L I4,P
726,VX Deluxe 1.0L I4,P
727,VX R 1.8L I4,P
728,VX S 1.8L I4,P
729,VX Sport 1.0L I4,P
730,VX110 Deluxe 1.0L I4,P
731,VX110 Sport 1.0L I4,P
732,1.4 16v MultiAir Turbo 6AT,P
733,1.4 16v MultiAir Turbo 6MT,P
734,1.4 16v T-Jet,P
735,1.4 16v T-Jet MTA,P
736,1.4 16v MultiAir Turbo,P
737,1.4 Turbo T-Jet,P
738,1.4 16v T-Jet MT,P
739,1.4 16v MultiAir Turbo 5MT,P
740,1.4 16v T-Jet MultiAir,P
741,2.0 16v i-VTEC,P
742,2.4 16v i-VTEC,P
743,3.5 V6 VTEC,P
744,3.5 V6 i-VTEC,P
745,3.7 24v V6 VTEC,P
746,3.7 V6 VTEC,P
747,2.3 16v i-VTEC,P
748,2.3 16v Turbo i-VTEC,P
749,3.5 24v V6 VTEC,P
750,3.5 V6,P
751,1.6 16v Twin Spark,P
752,1.6 16v Twin Spark ECO,P
753,1.9 JTD  8v,D
754,1.9 JTD  8v M-Jet,D
755,1.9 JTD 16v M-Jet,D
756,2.0 16v Twin Spark,P
757,3.2 GTA V6 24v,P
758,1.8 16v Twin Spark,P
759,2.0 16v Twin Spark Selespeed,P
760,2.0 JTS 16v,P
761,2.0 JTS 16v Selespeed,P
762,2.4 JTD 10v,D
763,2.4 JTD 20v M-Jet,D
764,2.5 V6 24v,P
765,2.5 V6 24v Q-System,P
766,2.5 V6 24v Selespeed,P
767,2.5i V6 24v,P
768,2.5i V6 24v Selespeed,P
769,3.2 GTA V6 24v Selespeed,P
770,1.9 JTD  8v M-Jet ECO,D
771,1.9 JTD 16v M-Jet Q-Tronic,D
772,1.9 JTS 16v,P
773,1750 TBi 16v,P
774,2.0 16v JtdM,D
775,2.0 16v M-Jet,D
776,2.4 JTD 20v M-Jet Q-Tronic,D
777,2.4 JTD 20v M-Jet Q4,D
778,3.2 JTS V6 24v,P
779,3.2 JTS V6 24v Q4,P
780,3.2 JTS V6 24v Q4 Q-Tronic,P
781,2.2 JTS 16v,P
782,2.2 JTS 16v Selespeed,P
783,2.4 JTD 20v M-Jet Sportronic,D
784,3.0 V6 24v Sportronic,P
785,3.2 V6 24v,P
786,1750 16v TBi TCT,P
787,1.7 VVT 6AT,P
788,4.7 V8 Competizione,P
789,2.2 Diesel 6MT,D
790,2.2 Diesel 8AT,D
791,2.2 Multijet AT8,D
792,2.0 Turbo 8AT,P
793,2.9 V6 TwinTurbo 6MT,P
794,2.9 V6 TwinTurbo 8AT,P
795,1.4 16v GPL Turbo,P
796,2.0 JTDm 16v 170 TCT,D
797,2.0 JTDm 16v 175 TCT,D
798,2.0 JTDm2 16v 170 TCT,D
799,QV 1750 16v TBi TCT,P
800,1.4 TB 16v 120,P
801,1750 16v Tbi,P
802,1.4 TB 16v MultiAir,P
803,1.4 TB 16v MultiAir Sportiva,P
804,1.4 TB 16v MultiAir TCT,P
805,1.6 JTDm 16v 105,D
806,1.6 JTDm2 16v 105,D
807,2.0 JTDm 16v 170,D
808,2.0 JTDm-2 16v (170),D
809,2.0 JTDm-2 16v (170) Automatic,D
810,2.0 JTDm-2 16v (170) TCT,D
811,2.0 JTDm 16v 150,D
812,2.0 JTDm-2 16v (140),D
813,1.4 TB 16v 105,P
814,1.4 16v GPL Turbo,PL
815,1.6 JTDm2 16v 120,D
816,1.6 JTDm2 16v 120 TCT,D
817,1.4 16v Turbo MultiAir (135),P
818,1.4 16v Turbo (120),P
819,1.4 16v Turbo TwinAir BiFuel,P
820,1.3 JTDm (90),D
821,1.4 16v Turbo (155),P
822,1.3 JTDm (95),D
823,1.3 JTDm (85),D
824,1.3 JTDm Eco (85),D
825,0.9 TwinAir (85),P
826,1.3 16v Multijet 5MT (95 hp),D
827,1.4  8v,P
828,1.4  8v (78),P
829,1.4 16v,P
830,1.4 16v Turbo MultiAir (135) TCT,P
831,1.6 JTDm (120),D
832,1.6 JTDm (115),D
833,1.4 16v MultiAir (105),P
834,1.4  8v (70),P
835,1.4 16v Turbo MultiAir (140) TCT,P
836,1.4 16v Turbo MultiAir,P
837,1.4 16v Turbo MultiAir TCT,P
838,3.0 V6 24v 6m,P
839,1.3 16v,P
840,1.3 16v Collette Limited Edition,P
841,1.3 16v Launch Edition,P
842,1.3 16v Launch Edition Multidrive S,P
843,1.3 16v Multidrive S,P
844,6.0 V12,P
845,6.0 V12 Carbon Black Edition,P
846,6.0 V12 Lm,P
847,6.0 V12 Touchtronic-2,P
848,6.0 V12 GT,P
849,6.0 V12 Morning Frost Edition,P
850,6.0 V12 Carbon Black Special Edition,P
851,6.0 V12 Carbon Edition,P
852,6.0 V12 UB-2010 Limited Edition,P
853,6.0 V12 Volante,P
854,6.0 V12 Volante Carbon Black Special Edition,P
855,6.0 V12 Volante Carbon Edition,P
856,6.0 V12 Volante Touchtronic-2,P
857,6.0 V12 Volante UB-2010 Limited Edition,P
858,6.0 V12 S,P
859,4.3 V8,P
860,4.3 V8 N24,P
861,4.3 V8 N400,P
862,4.3 V8 N400 Sportshift,P
863,4.3 V8 N420,P
864,4.3 V8 N420 Sportshift3,P
865,4.3 V8 Sportshift,P
866,4.7 V8,P
867,4.7 V8 N430 6-speed,P
868,4.7 V8 N430 Sportshift,P
869,4.7 V8 Sportshift,P
870,1.4 TSI (185) S-Tronic,P
871,1.4 TSI,P
872,1.4 TSI S-Tronic,P
873,1.4 TSI S-Tronic 119 g/km,P
874,1.6 TDI (90),D
875,1.6 TDI (90) S-Tronic,D
876,1.6 TDI (105),D
877,1.2 TFSI,P
878,2.0 TDI,D
879,1.0 TSI Ultra (95),P
880,1.0 TSI Ultra (95) S-Tronic,P
881,1.4 TSI (140) CoD,P
882,1.4 TDI Ultra (90),D
883,1.4 TDI Ultra (90) S-Tronic,D
884,1.6 TDI (115),D
885,1.6 TDI (115) S-Tronic,D
886,1.4 TSI (125),P
887,1.4 TSI (125) S-Tronic,P
888,1.4 TSI (150) CoD,P
889,1.4 TSI (150) CoD S-Tronic,P
890,35 1.5 TFSI 6MT,P
891,35 1.5 TFSI S-Tronic,P
892,25 1.0 TFSI 5MT,P
893,40 2.0 TFSI S-Tronic,P
894,30 1.0 TFSI 6MT,P
895,30 1.0 TFSI S-Tronic,P
896,2.0 TFSI,P
897,1.4  6v TDI,D
898,1.2  6v TDI 3L,D
899,1.6 16v FSI,P
900,1.9 TDI (110),D
901,1.8 20v Turbo (180),P
902,1.8 20v Turbo (180) Quattro,P
903,1.9 TDI,D
904,1.6  8v,P
905,1.6  8v Automatic,P
906,1.8 20v,P
907,1.8 20v Automatic,P
908,1.8 20v Turbo (180) Tiptronic,P
909,1.8 20v Turbo,P
910,1.8 20v Turbo Automatic,P
911,1.8 20v Turbo Quattro,P
912,1.9 TDI (110) Automatic,D
913,1.9 TDI (130),D
914,1.9 TDI (130) Quattro,D
915,1.9 TDI (130) Tiptronic,D
916,1.9 TDI Tiptronic,D
917,1.8 20v Turbo Tiptronic,P
918,2.0 FSI,P
919,2.0 FSI Tiptronic,P
920,2.0 TFSI DSG,P
921,2.0 TFSI Quattro,P
922,2.0 TFSI S-Tronic,P
923,2.0 TDI (136),D
924,2.0 TDI (136) Quattro,D
925,2.0 TDI (136) S-Tronic,D
926,1.6 FSI,P
927,3.2 Quattro,P
928,3.2 Quattro DSG,P
929,3.2 Quattro S-Tronic,P
930,1.6 Tiptronic,P
931,1.9 TDI DPF,D
932,1.9 TDI S-Tronic,D
933,2.0 TDI (140),D
934,2.0 TDI (140) S-Tronic,D
935,2.0 TDI DPF,D
936,2.0 TDI DSG,D
937,2.0 TDI DSG DPF,D
938,2.0 TDI Quattro,D
