id,number,carmanufacturers,model_id
8472,0261S08357,VW,7
8473,0261S10095,BMW,55
8474,0261S09218,VW,6
8475,0261S06393,Opel,87
8476,0261S09183,BMW,33
8477,0261S08070,Opel,87
8478,0261S16173,"",115
8479,0261S16019,"",115
8480,0261S18250,"",72
8481,0261S15774,"",115
8482,0261S15026,BMW,33
8483,0261S17473,GM,146
8484,0261S19339,"",111
8485,0261S16534,"",113
8486,0261S18239,"",72
8487,0261S06350,VW,63
8488,0261S21476,Honda,111
8489,0261S20760,BMW,33
8490,0261201250,BENTLEY,20
8491,0261S16676,"",125
8492,0261S16525,"",92
8493,0261204997,VW,27
8494,0261S11280,BMW,37
8495,0261S08194,BMW,56
8496,0261S02879,Audi,2
8497,0261S02727,"",103
8498,0261S09532,"",118
8499,0261S16597,"",120
8500,0261201384,VW,28
8501,0261201399,VW,29
8502,0261201627,Chevrolet,65
8503,0261208989,VW,20
8504,0261201678,VW,20
8505,0261S18543,BMW,33
8506,0261S17797,"",125
8507,0261S18554,"",146
8508,0261S21081,"",72
8509,0261S07947,"",157
8510,0261S09264,BMW,37
8511,0261S09479,BMW,55
8512,0261S04684,"",164
8513,0261S02643,VW,1
8514,0261S02061,VW,1
8515,0261S08642,"",92
8516,0261S08946,SKODA,7
8517,0261S16093,"",115
8518,0261S08302,VW,7
8519,0261S16606,"",125
8520,0261S19568,BMW,33
8521,0261S19456,"",109
8522,0261201260,AUDI,20
8523,0261201232,VW,27
8524,0261S08246,Suzuki,57
8525,0261S08730,"",138
8526,0261S02160,VW,1
8527,0261S15778,"",115
8528,0261200136,Opel,189
8529,0261S22156,"",72
8530,0261S21536,BMW,33
8531,0261S18936,BMW,33
8532,0261S17579,"",72
8533,0261208971,BENTLEY,20
8534,0261S16539,"",113
8535,0261209520,Saab,126
8536,0261S18983,"",118
8537,0261S19186,"",72
8538,0261S19021,"",92
8539,0261204613,VW,68
8540,0261S17633,"",131
8541,0261S10439,"",92
8542,0261S19202,"",72
8543,0261201835,LADA,29
8544,0261S12343,BMW / Mini,34
8545,0261S16527,"",92
8546,0261S16660,"",115
8547,0261S16529,"",92
8548,0261S04601,"",69
8549,0261201147,AUDI,20
8550,0261S07825,Audi,5
8551,0261S08040,BMW,52
8552,0261S07830,VW,7
8553,0261S09033,AvtoVaz,51
8554,0261S16827,Suzuki,130
8555,0261S16367,"",153
8556,0261S04505,VW,20
8557,0261S10464,BMW / Mini,34
8558,0261S15235,BMW,34
8559,0261S18033,"",120
8560,0261201286,Mercedes,47
8561,0261201284,Mercedes-Benz,47
8562,0261S15939,"",115
8563,0261208832,BMW,106
8564,0261208557,VW,20
8565,0261S17016,BMW,33
8566,0261S16464,"",92
8567,0261S08057,VW,7
8568,0261S18229,BMW,34
8569,0261201132,VW,20
8570,0261S20179,"",153
8571,0261S06935,BMW,52
8572,0261S09827,"",175
8573,0261S17999,"",120
8574,0261S17876,"",115
8575,0261S18013,"",120
8576,0261S09912,"",131
8577,0261S10017,"",118
8578,0261S18542,BMW,33
8579,0261S19290,BMW,33
8580,0261S09782,Fiat,92
8581,0261208432,Mercedes,59
8582,0261S18546,BMW,33
8583,0261206146,AUDI,25
8584,0261S18931,"",134
8585,0261200021,BMW,191
8586,0261S18790,BMW,33
8587,0261S16518,"",92
8588,0261201226,SKODA,29
8589,0261204942,VW,25
8590,0261S10082,"",138
8591,0261S17580,GM,144
8592,0261S16654,"",115
8593,0261S16689,"",135
8594,0261209590,"",139
8595,0261S18938,BMW,33
8596,0261201387,VW,20
8597,0261201175,VW,20
8598,0261S08471,BMW,52
8599,0261S09345,"",57
8600,0261S10334,VW,12
8601,0261S09924,PSA,54
8602,0261S09346,"",57
8603,0261S08260,"",157
8604,0261S16746,"",122
8605,0261S08906,BMW,55
8606,0261S19194,"",72
8607,0261S17642,"",135
8608,0261S18152,"",72
8609,0261S18195,"",72
8610,0261201742,VW,20
8611,0261204999,VW,27
8612,0261S16483,"",148
8613,0261201812,AUDI,20
8614,0261S10047,BMW,55
8615,0261S10051,BMW,37
8616,0261S04218,VW,20
8617,0261S09518,"",113
8618,0261S10042,BMW,37
8619,0261S02375,VW,1
8620,0261S01047,"",192
8621,0261S05380,Mercedes,59
8622,0261S18306,"",115
8623,0261208801,Mercedes,59
8624,0261S09892,"",97
8625,0261S19925,"",125
8626,0261S09981,BMW,33
8627,0261S18926,"",125
8628,0261S18905,"",72
8629,0261S09045,BMW,37
8630,0261S10138,BMW,33
8631,0261209606,BMW,58
8632,0261208352,Mercedes,59
8633,0261208807,Mercedes,59
8634,0261S02596,Audi,2
8635,0261S10043,BMW,37
8636,0261S16313,Dacia,74
8637,0261S15228,GM,146
8638,0261S16123,"",115
8639,0261S15959,"",115
8640,0261S18199,"",72
8641,0261S18608,"",109
8642,0261S18561,"",115
8643,0261S18653,"",74
8644,0261S10099,"",122
8645,0261S09629,"",57
8646,0261S19196,"",72
8647,0261S04589,"",164
8648,0261S09081,"",113
8649,0261S20207,"",153
8650,0261S19763,"",123
8651,0261208382,VW,27
8652,0261S15949,"",115
8653,0261S15953,"",115
8654,0261S19629,"",111
8655,0261S09962,BMW,34
8656,0261S06391,Opel,87
8657,0261S17873,GM,144
8658,0261208424,Mercedes,59
8659,0261S09235,SUZUKI,113
8660,0261S10020,"",138
8661,0261S10280,SMART,74
8662,0261S04194,Mercedes,47
8663,0261S16685,MINI (BMW),34
8664,0261S16768,"",120
8665,0261S19060,"",125
8666,0261S20426,"",115
8667,0261S19875,BMW,55
8668,0261S19072,"",122
8669,0261S19022,"",125
8670,0261S18072,"",154
