id,year,model_id
634,2004,212
635,2018,213
636,2019,214
637,2009,215
638,2009,216
639,2009,217
640,2018,218
641,2018,219
642,2009,220
643,2014,220
644,2012,220
645,2009,221
646,2018,222
647,2007,223
648,2016,224
649,2021,225
650,2000,225
651,2001,225
652,2002,225
653,2003,225
654,2004,225
655,2005,225
656,2006,225
657,2007,225
658,2008,225
659,1999,225
660,2009,225
661,2010,225
662,2015,225
663,2016,225
664,2017,225
665,2009,226
666,2009,227
667,2019,228
668,2019,229
669,2019,230
670,2019,231
671,2009,232
672,2009,233
673,2009,234
674,2009,235
675,2018,236
676,2018,237
677,2012,238
678,2009,238
679,2008,238
680,2018,238
681,2016,238
682,2021,238
683,2015,238
684,2017,238
685,2004,239
686,2005,239
687,2006,239
688,2012,239
689,2014,239
690,2015,239
691,2008,239
692,2013,239
693,2016,239
694,2018,239
695,2009,239
696,2007,239
697,2010,239
698,2011,239
699,2016,240
700,2008,241
701,2009,241
702,2009,242
703,2010,242
704,2013,243
705,2013,244
706,2008,244
707,2009,244
708,2010,245
709,2011,245
710,2020,246
711,2012,247
712,2015,247
713,2019,247
714,2016,247
715,2018,247
716,2013,248
717,2013,249
718,2020,250
719,2014,251
720,2010,252
721,2011,252
722,2016,253
723,2007,254
724,2008,254
725,2007,255
726,2008,255
727,2010,256
728,2010,257
729,2006,258
730,2007,259
731,2013,260
732,2003,261
733,2017,261
734,2021,261
735,2007,261
736,2007,262
737,2006,262
738,2005,263
739,2014,264
740,2007,265
741,2014,266
742,2011,267
743,2004,267
744,2006,267
745,2009,267
746,2010,268
747,2001,269
748,2005,269
749,2003,269
750,2007,269
751,2000,270
752,2003,270
753,2001,270
754,2002,270
755,2004,270
756,1998,270
757,1999,270
758,2005,271
759,2009,271
760,2010,271
761,2007,271
762,2008,271
763,2000,272
764,2005,272
765,1998,272
766,2002,272
767,2003,272
768,2006,272
769,2013,273
770,2016,273
771,2013,274
772,2016,274
773,2015,274
774,2006,275
775,2009,276
776,2007,276
777,2006,276
778,2008,276
779,2005,276
780,2016,277
781,2018,277
782,2019,277
783,2020,277
784,2016,278
785,2017,278
786,2020,278
787,2016,279
788,2012,280
789,2010,280
790,2016,280
791,2014,280
792,2018,280
793,2011,280
794,2015,280
795,2013,280
796,2005,281
797,2003,281
798,2004,281
799,2007,281
800,1999,282
801,2003,282
802,2009,283
803,2008,283
804,2010,283
805,2014,283
806,2013,283
807,2011,283
808,2012,283
809,2015,283
810,2010,284
811,2015,284
812,2009,285
813,1999,285
814,2003,285
815,2007,285
816,2008,285
817,2006,285
818,2017,286
819,2018,286
820,2020,286
821,2017,287
822,2018,287
823,2020,287
824,2016,287
825,2017,288
826,2011,289
827,2003,290
828,2009,290
829,2011,290
830,2007,290
831,2013,290
832,2015,290
833,2004,291
834,2009,291
835,2011,291
836,2013,291
837,2007,292
838,2011,292
839,2009,292
840,2010,292
841,2010,293
842,2009,294
843,2013,294
844,2012,295
845,2013,295
846,2013,296
847,2014,297
848,2012,298
849,2005,299
850,2007,299
851,2010,299
852,2006,299
853,2009,299
854,2014,299
855,2006,300
856,2007,300
857,2010,300
858,2009,300
859,2014,300
860,2011,301
861,2012,301
862,2011,302
863,2013,303
864,2015,303
865,2010,304
866,2011,304
867,2015,304
868,2012,304
869,2018,304
870,2012,305
871,2012,306
872,2015,306
873,1999,307
874,2001,307
875,2003,307
876,2002,307
877,2000,308
878,1998,308
879,1999,308
880,2001,308
881,2002,308
882,2003,308
883,2005,308
884,2004,308
885,2006,308
886,2008,308
887,2007,308
888,2010,308
889,2009,308
890,2011,308
891,2018,308
892,2012,308
893,2013,308
894,2014,308
895,2017,308
896,2015,308
897,2016,308
898,2008,309
899,2007,309
900,2009,309
901,2018,309
902,2012,309
903,2013,309
904,2017,309
905,2014,309
906,2016,309
907,2018,310
908,2012,310
909,2013,310
910,2014,310
911,2017,310
912,2015,310
913,2016,310
914,2004,311
915,2006,311
916,2003,311
917,2005,311
918,2008,311
919,2007,311
920,2010,311
921,2009,311
922,2011,311
923,2013,311
924,2012,311
925,2018,311
926,2014,311
927,2017,311
928,2015,311
929,2016,311
930,2008,312
931,1998,312
932,1999,312
933,2000,312
934,2001,312
935,2004,312
936,2005,312
937,2007,312
938,2006,312
939,2003,312
940,2002,312
941,2010,312
942,2012,312
943,2009,312
944,2011,312
945,2015,312
946,2013,312
947,2014,312
948,2018,312
949,2016,312
950,2018,313
951,2016,314
952,2008,314
953,2011,314
954,2013,314
955,2015,314
956,2018,314
957,2007,314
958,2010,314
959,2009,314
960,2012,314
961,2014,314
962,2018,315
963,2009,315
964,2010,315
965,2011,315
966,2012,315
967,2013,315
968,2014,315
969,2015,315
970,2016,315
971,2018,316
972,2010,316
973,2011,316
974,2009,316
975,2012,316
976,2013,316
977,2014,316
978,2015,316
979,2016,316
980,1998,317
981,2000,317
982,1999,317
983,2001,317
984,2003,317
985,2002,317
986,2006,317
987,2004,317
988,2005,317
989,2008,317
990,2007,317
991,2010,317
992,2009,317
993,2011,317
994,2012,317
995,2013,317
996,2015,317
997,2014,317
998,2016,317
999,2018,317
1000,2003,318
1001,2004,318
1002,2000,318
1003,2002,318
1004,2001,318
1005,2005,318
1006,2006,318
1007,2007,318
1008,2008,318
1009,2012,318
1010,2015,318
1011,2014,318
1012,2016,318
1013,2011,319
1014,2010,319
1015,2012,319
1016,2013,319
1017,2016,319
1018,2014,319
1019,2018,319
1020,2016,320
1021,2014,320
1022,2018,320
1023,2018,321
1024,2011,321
1025,2013,321
1026,2000,321
1027,1999,321
1028,1998,321
1029,2004,321
1030,2005,321
1031,2003,321
1032,2002,321
1033,2006,321
1034,2009,321
1035,2014,321
1036,2015,321
1037,2010,321
1038,2012,321
1039,2016,321
1040,2017,321
1041,2018,322
1042,2016,322
1043,2019,322
1044,2018,323
1045,2011,323
1046,2015,323
1047,2012,323
1048,2013,323
1049,2014,323
1050,2016,323
1051,2019,324
1052,2013,324
1053,2015,324
1054,2016,324
1055,2016,325
1056,2018,326
1057,2017,326
1058,2010,326
1059,2009,326
1060,2008,326
1061,2014,326
1062,2011,326
1063,2012,326
1064,2013,326
1065,2015,326
1066,2009,327
1067,2005,327
1068,2007,327
1069,2006,327
1070,2010,327
1071,2008,327
1072,2011,327
1073,2013,327
1074,2018,327
1075,2016,327
1076,2014,327
1077,2018,328
1078,2008,329
1079,2009,329
1080,2007,329
1081,2010,329
1082,2011,329
1083,2012,329
1084,2015,329
1085,2016,329
1086,2011,330
1087,2017,330
1088,2019,330
1089,2021,330
1090,2017,331
1091,2011,331
1092,2015,331
1093,2016,331
1094,2018,332
1095,2000,333
1096,2006,333
1097,2012,333
1098,2006,334
1099,2006,335
1100,2018,336
1101,2012,337
1102,2010,338
1103,2002,339
1104,2004,339
1105,2008,339
1106,2013,339
1107,2015,339
1108,2019,339
1109,2015,340
1110,2008,341
1111,2013,342
1112,2014,342
1113,2015,343
1114,2014,344
1115,2014,345
1116,2001,346
1117,1998,346
1118,1999,346
1119,2007,346
1120,2006,346
1121,2008,346
1122,2013,346
1123,2014,346
1124,2017,346
1125,2018,346
1126,2016,346
1127,2008,347
1128,2000,348
1129,2004,348
1130,2002,348
1131,2005,348
1132,2008,348
1133,2009,348
1134,2011,348
1135,2016,348
1136,2018,348
1137,2001,349
1138,2000,349
1139,2004,349
1140,2005,349
1141,2002,349
1142,2008,349
1143,2011,349
1144,2004,350
1145,2005,350
1146,2009,351
1147,2012,351
1148,2007,351
1149,2011,351
1150,2014,351
1151,2010,351
1152,2018,351
1153,2001,352
1154,1999,352
1155,2006,352
1156,2012,352
1157,2015,352
1158,2012,353
1159,2015,353
1160,1999,354
1161,2000,354
1162,2001,354
1163,2006,354
1164,2012,354
1165,2013,354
1166,2018,355
1167,2018,356
1168,2012,356
1169,2013,356
1170,2015,356
1171,2016,357
1172,2018,358
1173,2018,359
1174,2003,360
1175,2007,360
1176,2006,360
1177,2008,360
1178,2010,360
1179,2009,360
1180,2011,360
1181,1998,360
1182,2000,360
1183,1999,360
1184,2001,360
1185,2002,360
1186,2004,360
1187,2005,360
1188,2018,360
1189,2014,360
1190,2015,360
1191,2017,360
1192,2003,361
1193,2006,361
1194,2007,361
1195,2008,361
1196,2010,361
1197,2009,361
1198,2011,361
1199,1999,361
1200,2000,361
1201,2001,361
1202,2002,361
1203,2004,361
1204,2005,361
1205,2018,361
1206,2015,361
1207,2014,361
1208,2016,361
1209,2017,361
1210,2017,362
1211,2019,362
1212,2020,362
1213,2009,363
1214,2011,363
1215,2016,363
1216,2012,364
1217,2009,365
1218,2012,365
1219,2016,365
1220,2018,366
1221,2010,367
1222,2008,367
1223,2014,367
1224,2015,367
1225,2018,367
1226,2010,368
1227,2008,368
1228,2015,368
1229,2016,369
1230,2016,370
1231,2017,371
1232,2017,372
1233,2014,373
1234,2016,374
1235,2016,375
1236,2014,376
1237,2008,377
1238,2007,377
1239,2002,377
1240,2004,377
1241,2006,377
1242,2005,378
1243,2006,379
1244,2019,380
1245,2018,380
1246,2008,381
1247,2012,382
1248,2014,382
1249,2003,382
1250,2004,382
1251,2009,382
1252,2007,382
1253,2006,382
1254,2010,382
1255,2014,383
1256,2005,383
1257,2009,383
1258,2012,384
1259,2011,384
1260,2018,384
